mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__n_estimators,param_model__max_depth,param_model__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.0026030540466309,0.01234486808943912,0.03933629989624023,0.005156689947945936,1.0,200,2,0.2,"{'model__subsample': 1.0, 'model__n_estimators': 200, 'model__max_depth': 2, 'model__learning_rate': 0.2}",0.85,0.8648648648648649,0.8205128205128205,0.926829268292683,0.9302325581395349,0.8784879023619807,0.04329585409397539,7
2.627482604980469,0.031228269538134127,0.0371126651763916,0.0009121711054105652,0.9,500,2,0.05,"{'model__subsample': 0.9, 'model__n_estimators': 500, 'model__max_depth': 2, 'model__learning_rate': 0.05}",0.85,0.8421052631578947,0.8,0.9047619047619048,0.9523809523809523,0.8698496240601503,0.053052831435734596,20
1.0811899185180665,0.02462407101762924,0.03758573532104492,0.003100809019364334,0.9,200,2,0.05,"{'model__subsample': 0.9, 'model__n_estimators': 200, 'model__max_depth': 2, 'model__learning_rate': 0.05}",0.85,0.8421052631578947,0.8421052631578947,0.9047619047619048,0.9523809523809523,0.8782706766917293,0.043838849346563645,10
2.4664892196655273,0.020446493669043744,0.03828034400939941,0.0033092586059620113,1.0,500,2,0.2,"{'model__subsample': 1.0, 'model__n_estimators': 500, 'model__max_depth': 2, 'model__learning_rate': 0.2}",0.85,0.8648648648648649,0.8108108108108109,0.926829268292683,0.9302325581395349,0.8765475004215787,0.04598457940569001,13
0.952347993850708,0.039785144002185,0.03366837501525879,0.001307924425084645,1.0,100,4,0.1,"{'model__subsample': 1.0, 'model__n_estimators': 100, 'model__max_depth': 4, 'model__learning_rate': 0.1}",0.85,0.8205128205128205,0.8421052631578947,0.926829268292683,0.9523809523809523,0.87836566086887,0.051562317477197216,9
2.8034480094909666,0.030887648266817003,0.041820335388183597,0.010079419189177864,0.9,300,4,0.1,"{'model__subsample': 0.9, 'model__n_estimators': 300, 'model__max_depth': 4, 'model__learning_rate': 0.1}",0.85,0.8108108108108109,0.8717948717948718,0.926829268292683,0.9523809523809523,0.8823631806558636,0.05130015117299467,4
2.6672159671783446,0.0526709314326711,0.03649659156799316,0.0009893243265798963,0.7,300,4,0.05,"{'model__subsample': 0.7, 'model__n_estimators': 300, 'model__max_depth': 4, 'model__learning_rate': 0.05}",0.8717948717948718,0.8421052631578947,0.8205128205128205,0.9047619047619048,0.9767441860465116,0.8831838092548008,0.05470642738640467,3
2.501637029647827,0.023136902273031456,0.036572933197021484,0.0011639560553293761,0.7,500,2,0.1,"{'model__subsample': 0.7, 'model__n_estimators': 500, 'model__max_depth': 2, 'model__learning_rate': 0.1}",0.85,0.8421052631578947,0.7692307692307693,0.9047619047619048,0.9523809523809523,0.8636957779063043,0.06185280829541702,23
2.78805832862854,0.1805127429047465,0.03950657844543457,0.00558224101580821,1.0,500,3,0.2,"{'model__subsample': 1.0, 'model__n_estimators': 500, 'model__max_depth': 3, 'model__learning_rate': 0.2}",0.85,0.7692307692307693,0.8421052631578947,0.9047619047619048,0.9523809523809523,0.8636957779063043,0.06185280829541702,23
2.4997472763061523,0.048111219214555696,0.03766651153564453,0.004637995164399543,1.0,500,2,0.05,"{'model__subsample': 1.0, 'model__n_estimators': 500, 'model__max_depth': 2, 'model__learning_rate': 0.05}",0.85,0.8648648648648649,0.8108108108108109,0.926829268292683,0.9302325581395349,0.8765475004215787,0.04598457940569001,13
2.4934900760650636,0.050844497118116935,0.03701767921447754,0.002300999264037553,0.7,500,2,0.2,"{'model__subsample': 0.7, 'model__n_estimators': 500, 'model__max_depth': 2, 'model__learning_rate': 0.2}",0.85,0.8648648648648649,0.7692307692307693,0.926829268292683,0.9523809523809523,0.8726611709538539,0.06412735044943753,16
1.6338425636291505,0.03364315917166353,0.03546848297119141,0.0008233707061570566,0.9,300,2,0.2,"{'model__subsample': 0.9, 'model__n_estimators': 300, 'model__max_depth': 2, 'model__learning_rate': 0.2}",0.8205128205128205,0.8421052631578947,0.8108108108108109,0.9047619047619048,0.9302325581395349,0.8616846714765931,0.047373167583364156,25
0.5701103210449219,0.011441383612588783,0.034334659576416016,0.0008421502440452229,0.7,100,2,0.05,"{'model__subsample': 0.7, 'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.05}",0.8717948717948718,0.8421052631578947,0.8717948717948718,0.9047619047619048,0.9767441860465116,0.893440219511211,0.046130361578356635,2
1.515315341949463,0.03517909803006359,0.03691706657409668,0.002041128709471,1.0,300,2,0.2,"{'model__subsample': 1.0, 'model__n_estimators': 300, 'model__max_depth': 2, 'model__learning_rate': 0.2}",0.85,0.8333333333333334,0.8108108108108109,0.926829268292683,0.9302325581395349,0.8702411941152723,0.049203740676956764,19
2.029891538619995,0.02506175165016186,0.03682732582092285,0.0020025250025846224,0.7,300,3,0.05,"{'model__subsample': 0.7, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.05}",0.85,0.8421052631578947,0.8205128205128205,0.926829268292683,0.9523809523809523,0.8783656608688701,0.05156231747719721,8
4.199077033996582,0.08837976017279053,0.04112119674682617,0.0031575778766227422,0.7,500,4,0.1,"{'model__subsample': 0.7, 'model__n_estimators': 500, 'model__max_depth': 4, 'model__learning_rate': 0.1}",0.85,0.8421052631578947,0.7894736842105263,0.926829268292683,0.9523809523809523,0.8721578336084113,0.05942307581837695,17
2.043178606033325,0.016963020198058423,0.03649182319641113,0.0011653363048457442,1.0,300,3,0.1,"{'model__subsample': 1.0, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.1}",0.85,0.7692307692307693,0.8717948717948718,0.926829268292683,0.9767441860465116,0.8789198190729671,0.07040416260779497,5
1.0762672901153565,0.024151935425170808,0.0354426383972168,0.0016920008407606375,0.9,200,2,0.2,"{'model__subsample': 0.9, 'model__n_estimators': 200, 'model__max_depth': 2, 'model__learning_rate': 0.2}",0.8205128205128205,0.8421052631578947,0.8108108108108109,0.926829268292683,0.9302325581395349,0.8660981441827488,0.05198434724911213,22
2.9906771659851072,0.21873590135803056,0.03982257843017578,0.007022529003947286,0.9,500,4,0.2,"{'model__subsample': 0.9, 'model__n_estimators': 500, 'model__max_depth': 4, 'model__learning_rate': 0.2}",0.85,0.8421052631578947,0.8108108108108109,0.926829268292683,0.9523809523809523,0.8764252589284682,0.053835385665469346,15
1.5533132553100586,0.04141863556306967,0.0354522705078125,0.002056602403507772,0.7,300,2,0.1,"{'model__subsample': 0.7, 'model__n_estimators': 300, 'model__max_depth': 2, 'model__learning_rate': 0.1}",0.85,0.8421052631578947,0.8,0.9047619047619048,0.9523809523809523,0.8698496240601503,0.053052831435734596,20
0.7066613674163819,0.012011517591157686,0.036964797973632814,0.0037701080824370666,0.7,100,3,0.05,"{'model__subsample': 0.7, 'model__n_estimators': 100, 'model__max_depth': 3, 'model__learning_rate': 0.05}",0.8717948717948718,0.8648648648648649,0.9,0.926829268292683,0.9767441860465116,0.9080466381997863,0.04078172329733743,1
0.5604781627655029,0.026627078970366477,0.035761356353759766,0.001980519283114755,0.7,100,2,0.1,"{'model__subsample': 0.7, 'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.1}",0.85,0.8421052631578947,0.8205128205128205,0.9047619047619048,0.9767441860465116,0.8788248348958263,0.056285735315089694,6
1.8912034511566163,0.027554300360258955,0.041399574279785155,0.0128054743043878,0.9,200,4,0.1,"{'model__subsample': 0.9, 'model__n_estimators': 200, 'model__max_depth': 4, 'model__learning_rate': 0.1}",0.85,0.8108108108108109,0.8717948717948718,0.926829268292683,0.9302325581395349,0.87793350180758,0.045715218957571364,11
0.9271326541900635,0.03979439280238377,0.03972115516662598,0.005606129313059384,1.0,100,4,0.05,"{'model__subsample': 1.0, 'model__n_estimators': 100, 'model__max_depth': 4, 'model__learning_rate': 0.05}",0.85,0.7804878048780488,0.9,0.9047619047619048,0.9523809523809523,0.8775261324041811,0.05835106009078568,12
3.2503690242767336,0.34159010172443627,0.03560819625854492,0.011037318057245893,0.9,500,3,0.05,"{'model__subsample': 0.9, 'model__n_estimators': 500, 'model__max_depth': 3, 'model__learning_rate': 0.05}",0.85,0.8108108108108109,0.8421052631578947,0.9047619047619048,0.9523809523809523,0.8720117862223125,0.05031153223508696,18
